book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases,flesch_kincaid_score,flesch_kincaid_grade,1000
28031,0.9259259259,37,50,2.0555555556,233,15.7407407407,77,1.3164705882,111,89,3.7047058824,318,3875,2.9444444444,159,3.2972972973,0.6851851852,1.6481481481,1.4259259259,4.3148148148,79.4847363834,6.0832418301
20286,0.9111111111,285,41,0.9333333333,158,18.6,29,1.4181600956,42,50,3.6009557945,322,3822,8.3333333333,375,0.3157894737,6.3333333333,1.1111111111,0.6444444444,3.5111111111,67.979655914,8.3982891278
30348,1.1666666667,41,42,1.8333333333,178,18.2222222222,82,1.4451219512,66,92,4.1722560976,326,3360,4.5277777778,163,2.9756097561,1.1388888889,2.5555555556,2.2777777778,4.9444444444,66.0821273713,8.5691056911
18341,1.652173913,255,38,0.4347826087,31,40.0869565217,9,1.374186551,10,99,3.8611713666,330,4577,14.3043478261,329,0.2901960784,11.0869565217,4.3043478261,0.3913043478,1.347826087,49.8905569179,16.259314345
24928,1.5588235294,45,53,1.7352941176,181,19.6176470588,82,1.4722638681,59,105,4.3058470765,333,3539,5.3529411765,182,3.0444444444,1.3235294118,3.0882352941,2.4117647059,5.3235294118,62.3695649969,9.4335959961
14077,0.8307692308,346,54,0.8615384615,180,16.9692307692,20,1.4388032638,56,93,4.0163191296,333,6080,7.3230769231,476,0.3757225434,5.3230769231,1.4307692308,0.3076923077,2.7692307692,67.8884746496,8.0058785131
28518,1.6,36,72,1.0666666667,119,21.8888888889,48,1.2609137056,48,141,3.5715736041,335,4448,3.5777777778,161,3.4722222222,0.8,3.1333333333,1.0666666667,2.6444444444,77.9444782854,7.8254483926
14837,1.0754716981,197,57,0.4528301887,72,19.0377358491,20,1.3944499504,24,130,3.9494549058,341,4873,6.2075471698,329,0.6700507614,3.7169811321,2.4528301887,0.3773584906,1.358490566,69.5412323055,8.2892263964
22201,2.4193548387,258,75,1.0967741935,115,41.1290322581,38,1.3341176471,34,132,3.4894117647,343,8197,12.8387096774,398,0.5426356589,8.3225806452,4.2580645161,1.2258064516,3.7096774194,52.2226793169,16.1929108159
11095,1.4090909091,189,62,2.2954545455,260,21.5454545455,66,1.2858649789,101,82,3.5886075949,345,4430,6.5454545455,288,0.5238095238,4.2954545455,1.8636363636,1.5,5.9090909091,76.1821864212,7.9859340238
23652,1.2653061224,192,62,0.7755102041,102,17.9387755102,30,1.3503981797,38,114,3.7906712173,348,4503,5.8775510204,288,0.5,3.9183673469,2.3265306122,0.612244898,2.0816326531,74.3834568503,7.34082097
24734,0.7462686567,156,50,0.1492537313,31,12.7462686567,5,1.3173302108,10,82,3.6159250585,349,4266,3.7611940299,252,0.6153846154,2.328358209,1.223880597,0.0746268657,0.4626865672,82.4514014821,4.9255412632
23483,0.6916666667,513,83,0.7083333333,293,11.525,59,1.2104121475,85,118,2.8394793926,350,7922,4.6333333333,556,0.0838206628,4.275,0.9833333333,0.4916666667,2.4416666667,92.736257321,3.1876133406
