book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases
7873,8.5,24,34,1.0,18.0,23.5,9.0,1.3297872340425532,4.0,9,6.73404255319149,73,812,7.75,31,0.2916666666666667,6.0,2.25,2.25,4.5
2126,0.9496654058772185,2672,3264,0.028513238289205704,259.0,17.844340995053827,68.0,1.3806068709135673,98.0,8186,3.8627121683977106,5850,289668,3.435845213849287,11809,3.4195359281437128,0.7774221704975269,2.381728251382019,0.019784695955775384,0.07535641547861507
1183,1.2030217186024552,3205,5096,0.014636449480642116,129.0,20.933191690273844,47.0,1.3723455843379608,62.0,12175,3.8600250358057133,7726,414612,4.0016525023607175,16951,4.288923556942278,0.7566100094428706,2.8741737488196413,0.011095372993389991,0.030453257790368272
5697,0.9948349013097214,4643,5393,0.005349566500645637,72.0,18.029330381848368,24.0,1.3765820518329803,29.0,12489,3.8288570346951514,7967,452589,3.409334071204575,18482,2.980615981046737,0.8564840435344032,2.3038184836745987,0.004427227448810182,0.013281682346430549
2028,1.058127392969022,6556,6080,0.01148625130525583,158.0,19.503306648103027,53.0,1.4052344154337622,66.0,14180,3.9039673049809935,8877,525319,3.998433693003829,22975,2.5044234289200733,1.1409676296554125,2.4678036895231465,0.009223807866341803,0.027497389488339713
558,0.972498090145149,1336,2546,0.01566080977845684,132.0,18.079449961802904,55.0,1.2877545846361869,41.0,6971,3.654293078678273,5500,216633,3.3945760122230713,8887,5.651946107784431,0.5103132161955691,2.6627196333078684,0.02100840336134454,0.05042016806722689
559,0.960167714884696,4014,6412,0.00883498053309374,176.0,17.114705001497455,70.0,1.2916389598572078,59.0,16777,3.6788751618660975,9207,525347,3.175801138065289,21208,4.283507722969606,0.601078167115903,2.5122791254866725,0.010482180293501049,0.026355196166516923
560,1.027657004830918,5318,8509,0.028140096618357487,555.0,17.995652173913044,231.0,1.2973812783549434,233.0,21970,3.685827226114735,11263,680765,3.411111111111111,28244,4.311019180142911,0.6422705314009662,2.6533816425120773,0.02789855072463768,0.06702898550724638
78,1.5149064016639704,3801,6555,0.0067021030737231336,106.0,22.780910561590016,43.0,1.367139074594463,29.0,15031,3.9824292656204032,7454,481102,4.653339496186734,20135,4.297290186792949,0.8784377166628149,3.473769355211463,0.009937601109313613,0.024497342269470763
6532,1.3333333333333333,27,4,1.0,19.0,33.666666666666664,13.0,1.4356435643564356,3.0,15,6.435643564356436,73,833,20.666666666666668,62,1.2962962962962963,9.0,5.0,4.333333333333333,6.333333333333333
2020,1.392552026286966,3986,6357,0.023877327491785325,310.0,23.223439211391018,177.0,1.3887185775597792,109.0,17519,4.08301655426119,7454,528544,4.6981380065717415,21447,4.380582037129955,0.8731653888280394,3.8376779846659366,0.038773274917853234,0.06790799561883899
8768,7.0,22,28,1.0,19.0,21.5,9.0,1.3837209302325582,4.0,9,6.593023255813954,66,724,7.25,29,0.3181818181818182,5.5,2.25,2.25,4.75
1401,1.549679818219376,3288,7502,0.008262755629002272,126.0,25.355505060937823,61.0,1.3787170254020498,40.0,19952,4.03324751926743,7844,604695,4.938649039454658,23908,6.271289537712895,0.6791985127039868,4.121462507746333,0.012600702334228464,0.026027680231357157
8767,6.5,22,26,1.0,19.0,21.0,9.0,1.3928571428571428,4.0,9,6.440476190476191,64,692,7.25,29,0.3181818181818182,5.5,2.25,2.25,4.75
90,1.13375,3662,6349,0.012678571428571428,202.0,19.30767857142857,76.0,1.3580181829952924,71.0,16095,3.951999112122305,7577,525432,3.8353571428571427,21478,4.865101037684325,0.6539285714285714,2.874107142857143,0.013571428571428571,0.036071428571428574
8754,7.5,23,30,1.0,19.0,22.5,12.0,1.3333333333333333,4.0,12,6.522222222222222,67,753,7.5,30,0.30434782608695654,5.75,3.0,3.0,4.75
92,1.5045016077170419,2880,4679,0.023794212218649517,212.0,23.971704180064307,92.0,1.4002038845369675,74.0,12114,4.085296169116858,6455,372850,5.164951768488746,16063,4.577430555555556,0.9260450160771704,3.895176848874598,0.029581993569131833,0.06816720257234726
8755,6.75,25,27,1.0,21.0,23.25,12.0,1.3655913978494623,4.0,14,6.204301075268817,66,741,8.0,32,0.28,6.25,3.5,3.0,5.25
106,1.5878226711560044,3318,5659,0.008978675645342313,110.0,23.6192480359147,51.0,1.3769348649900806,32.0,13497,4.0255526912888016,6554,416192,4.946969696969697,17631,4.31374321880651,0.930976430976431,3.787037037037037,0.01430976430976431,0.030864197530864196
8758,3.75,24,15,1.0,19.0,18.75,11.0,1.44,4.0,11,5.533333333333333,53,535,7.75,31,0.2916666666666667,6.0,2.75,2.75,4.75
85,1.625733137829912,2407,4435,0.02969208211143695,218.0,26.12866568914956,108.0,1.3674434265351647,81.0,11587,4.035368060719146,6086,353411,5.359970674486804,14622,5.074781886165351,0.8823313782991202,4.247434017595308,0.039589442815249266,0.07991202346041056
8753,6.0,21,24,1.0,19.0,20.5,11.0,1.353658536585366,4.0,11,6.2560975609756095,61,658,7.25,29,0.38095238095238093,5.25,2.75,2.75,4.75
